brand,model,release_year,age_years,ram_gb,storage_gb,original_price,condition,fair_price
Google,Pixel 7,2019,5,12,512,33589,Poor,42765
Xiaomi,Mi 11 Lite,2019,5,16,512,18420,Good,47446
Xiaomi,Mi 11 Lite,2019,5,12,256,25492,Good,29201
Google,Pixel 7 Pro,2020,4,4,128,38093,Good,18077
Google,Pixel 6a,2020,4,8,128,114713,Good,39333
Samsung,Galaxy A54,2023,1,6,256,64689,Fair,40838
Oppo,Reno 7,2020,4,4,512,85316,Excellent,42034
Vivo,Y100,2021,3,12,128,93657,Good,39813
Xiaomi,Redmi Note 12,2020,4,16,128,70609,Fair,29330
Apple,iPhone 12,2022,2,16,64,95135,Fair,43232
Oppo,Reno 7,2023,1,12,128,84678,Good,43109
Google,Pixel 7,2020,4,12,128,98613,Excellent,41215
Xiaomi,Mi 11 Lite,2020,4,6,64,47217,Poor,13446
Samsung,Galaxy A34,2023,1,4,128,109841,Excellent,59553
Vivo,V27,2023,1,16,64,18343,Good,26075
Oppo,A58,2021,3,12,128,82215,Excellent,37058
Oppo,Reno 7,2023,1,4,128,110981,Poor,25602
Google,Pixel 6a,2020,4,16,256,106747,Excellent,53699
Realme,Realme 10,2020,4,16,512,83385,Good,49314
Xiaomi,Redmi 12,2019,5,16,64,19611,Good,22986
Apple,iPhone 14,2022,2,8,512,33071,Good,46307
Samsung,Galaxy S23,2023,1,8,256,118691,Good,72856
Apple,iPhone 12,2022,2,16,64,101027,Excellent,58249
Xiaomi,Redmi 12,2021,3,4,128,40351,Good,19747
Vivo,V25,2021,3,4,256,18267,Good,20089
Xiaomi,Redmi Note 11,2022,2,4,64,104084,Good,33317
Samsung,Galaxy A54,2019,5,8,512,32955,Good,39413
Google,Pixel 7 Pro,2023,1,12,64,35150,Fair,27748
Samsung,Galaxy S23,2019,5,12,512,15728,Good,42504
Samsung,Galaxy A34,2022,2,16,64,39466,Excellent,33417
Vivo,Y100,2021,3,6,256,23335,Good,22820
Samsung,Galaxy A34,2021,3,16,512,75566,Fair,51805
Oppo,F21 Pro,2020,4,6,64,38714,Fair,13432
Apple,iPhone 11,2019,5,6,128,115843,Fair,25607
Vivo,Y56,2020,4,4,128,103858,Fair,20948
Oppo,A78,2023,1,4,128,106792,Poor,29338
OnePlus,OnePlus Nord CE 3,2022,2,8,64,118605,Fair,34292
Xiaomi,Poco F5,2023,1,16,128,24435,Good,31970
Google,Pixel 7,2019,5,4,256,95219,Poor,21601
Samsung,Galaxy S23,2019,5,16,128,82641,Excellent,37162
Oppo,A58,2023,1,8,512,36732,Good,47565
Samsung,Galaxy S22,2019,5,4,128,67638,Poor,14500
Xiaomi,Redmi Note 12,2021,3,12,128,25975,Excellent,24724
Google,Pixel 6,2023,1,6,512,76529,Good,59885
OnePlus,OnePlus Nord CE 3,2023,1,4,512,35159,Good,37396
Samsung,Galaxy S23,2023,1,12,64,50547,Good,32199
Xiaomi,Redmi Note 11,2020,4,8,512,85340,Good,46145
Google,Pixel 6a,2020,4,8,64,52892,Excellent,23303
Samsung,Galaxy S22,2019,5,8,64,38833,Good,17085
Xiaomi,Redmi Note 12,2023,1,4,128,90880,Good,38690
Google,Pixel 7 Pro,2022,2,4,64,113142,Fair,39948
Realme,Realme 11,2023,1,16,128,47201,Good,36076
Samsung,Galaxy S23,2021,3,16,64,72091,Good,38519
Google,Pixel 6a,2022,2,6,128,73017,Good,39790
Apple,iPhone 11,2019,5,12,64,39285,Fair,19472
Realme,Realme Narzo 60,2023,1,16,128,52441,Fair,38656
Google,Pixel 6,2020,4,6,128,88553,Good,29296
Realme,Realme 10,2022,2,4,128,71800,Fair,24950
Realme,Realme 10,2021,3,4,64,118196,Excellent,41680
Apple,iPhone 14,2022,2,12,512,117468,Poor,57249
Oppo,A78,2021,3,8,256,21254,Excellent,24446
Realme,Realme Narzo 60,2022,2,12,512,56240,Fair,49153
Oppo,F21 Pro,2023,1,6,256,38954,Fair,27843
Apple,iPhone SE,2023,1,4,64,119680,Good,64836
Samsung,Galaxy S22,2023,1,8,64,38321,Fair,23178
Realme,Realme GT 2,2021,3,16,64,110257,Fair,34285
Xiaomi,Redmi Note 11,2022,2,6,512,88686,Good,58272
Apple,iPhone 12,2021,3,8,256,97838,Good,49094
Oppo,F21 Pro,2020,4,8,256,50854,Excellent,32015
OnePlus,OnePlus Nord 3,2019,5,4,256,21229,Good,17434
Samsung,Galaxy M34,2022,2,4,512,22561,Fair,35116
Realme,Realme GT 2,2020,4,4,512,87274,Good,41809
OnePlus,OnePlus Nord 3,2020,4,8,512,91090,Poor,41008
Samsung,Galaxy M34,2023,1,12,128,71138,Excellent,55458
Google,Pixel 7 Pro,2019,5,8,256,115894,Good,38293
Realme,Realme 10,2020,4,12,512,43746,Fair,45566
Samsung,Galaxy A54,2019,5,6,256,25954,Good,20795
OnePlus,OnePlus 11R,2020,4,12,256,73067,Good,34333
Realme,Realme 11,2020,4,16,128,35618,Poor,24068
Xiaomi,Redmi Note 12,2020,4,6,64,102958,Good,23754
Google,Pixel 6a,2022,2,4,256,78076,Excellent,45790
Realme,Realme GT 2,2021,3,4,64,111573,Fair,25140
Oppo,A78,2019,5,6,512,88698,Excellent,44280
Vivo,Y100,2023,1,8,64,73596,Good,33202
Oppo,A58,2023,1,8,256,15077,Good,25069
Oppo,F21 Pro,2019,5,6,512,74207,Good,37879
Xiaomi,Redmi Note 11,2019,5,4,64,82728,Fair,13093
Vivo,Y56,2021,3,8,128,69917,Good,30752
Apple,iPhone 11,2023,1,4,512,40053,Fair,45712
Vivo,V27,2019,5,16,64,47154,Fair,20615
Vivo,V25,2020,4,16,256,58872,Excellent,40396
Realme,Realme GT 2,2023,1,12,512,116532,Good,76022
OnePlus,OnePlus Nord CE 3,2023,1,6,256,31478,Good,29617
Apple,iPhone 12,2021,3,16,512,92834,Poor,52157
Vivo,V25,2021,3,12,128,90916,Excellent,39016
Samsung,Galaxy A34,2021,3,12,512,52219,Poor,46162
Oppo,F21 Pro,2019,5,12,256,70176,Good,33138
Google,Pixel 7,2021,3,4,128,37116,Poor,16009
Vivo,V27,2019,5,8,512,78374,Good,37569
Samsung,Galaxy S22,2022,2,4,64,112945,Good,42293
Samsung,Galaxy S22,2021,3,6,256,23666,Fair,23132
Xiaomi,Poco F5,2022,2,8,256,82526,Excellent,44004
Samsung,Galaxy S23,2023,1,8,128,34097,Excellent,31632
Realme,Realme 11,2022,2,4,64,117547,Good,36031
Oppo,Reno 8,2019,5,16,128,107374,Good,34839
Vivo,Y56,2019,5,16,64,105397,Fair,27578
Samsung,Galaxy A54,2020,4,6,128,53000,Good,22308
Realme,Realme GT 2,2019,5,16,256,55806,Fair,31483
Xiaomi,Redmi 12,2022,2,4,256,96974,Excellent,51516
Oppo,Reno 8,2019,5,8,512,45678,Good,34398
Vivo,V27,2023,1,8,256,39160,Good,35273
Xiaomi,Poco F5,2022,2,12,64,101925,Good,46436
Realme,Realme 10,2019,5,16,256,35079,Excellent,33557
OnePlus,OnePlus Nord 3,2020,4,4,256,38236,Good,21669
Apple,iPhone 12,2022,2,12,64,48572,Good,33222
Apple,iPhone SE,2022,2,8,512,32771,Excellent,51839
Google,Pixel 7 Pro,2019,5,6,256,42856,Good,24223
Oppo,Reno 8,2019,5,8,128,70961,Good,19918
Realme,Realme 11,2021,3,6,512,76268,Fair,44167
Apple,iPhone 14,2023,1,4,128,93411,Good,46632
Oppo,A78,2019,5,8,512,111523,Good,44422
Apple,iPhone SE,2019,5,6,64,104563,Fair,19349
Apple,iPhone 11,2021,3,4,256,36172,Good,25762
Oppo,A78,2021,3,12,64,39762,Good,24044
Apple,iPhone SE,2019,5,6,512,89478,Good,44054
Xiaomi,Redmi Note 12,2021,3,16,256,81017,Good,45940
Samsung,Galaxy S23,2019,5,4,64,15060,Good,8796
Realme,Realme Narzo 60,2021,3,6,64,101123,Good,29483
Apple,iPhone 11,2021,3,16,512,84626,Poor,55831
Samsung,Galaxy S23,2022,2,8,512,27254,Fair,41556
Vivo,V27,2020,4,4,512,92454,Good,40074
Apple,iPhone 13,2019,5,6,64,34541,Poor,10221
Oppo,Reno 8,2021,3,6,256,109934,Fair,38749
OnePlus,OnePlus 11,2021,3,6,256,81150,Excellent,40998
Xiaomi,Mi 11 Lite,2022,2,16,128,97050,Good,47328
Realme,Realme Narzo 60,2022,2,4,512,69620,Good,50918
Samsung,Galaxy M34,2020,4,12,128,89038,Good,37998
Xiaomi,Redmi Note 11,2023,1,6,512,28919,Fair,42855
OnePlus,OnePlus 11R,2019,5,16,128,88972,Good,31576
OnePlus,OnePlus 11,2019,5,6,128,65072,Good,18828
Samsung,Galaxy S23,2021,3,16,128,39951,Good,31077
Vivo,Y56,2019,5,4,64,105093,Excellent,18263
Samsung,Galaxy A34,2022,2,8,128,82364,Fair,31739
Vivo,T2,2023,1,6,64,39262,Poor,14390
OnePlus,OnePlus 11R,2023,1,8,64,49157,Good,25716
Apple,iPhone 14,2019,5,6,256,29199,Good,20597
Realme,Realme Narzo 60,2019,5,4,256,77483,Poor,18963
Apple,iPhone 12,2020,4,6,128,39578,Fair,17700
Google,Pixel 7,2019,5,4,512,49701,Fair,33967
Google,Pixel 7 Pro,2021,3,12,64,80160,Excellent,44586
Apple,iPhone 14,2019,5,16,256,65106,Good,35420
Vivo,T2,2023,1,6,128,109661,Poor,26899
OnePlus,OnePlus 11R,2023,1,4,128,24516,Good,18869
Apple,iPhone 12,2020,4,8,64,114616,Fair,31295
Google,Pixel 6,2019,5,8,256,98624,Good,31104
Oppo,F21 Pro,2022,2,8,128,68947,Excellent,40427
Apple,iPhone 14,2021,3,6,128,17719,Good,18318
Realme,Realme 10,2022,2,6,128,72932,Good,29120
Google,Pixel 7,2021,3,4,64,49832,Excellent,23061
Google,Pixel 6,2023,1,8,512,85981,Good,62560
Samsung,Galaxy S22,2022,2,12,256,106357,Fair,53795
OnePlus,OnePlus Nord CE 3,2022,2,6,512,65192,Fair,47179
Vivo,V27,2020,4,8,128,82889,Poor,21085
OnePlus,OnePlus Nord CE 3,2021,3,8,512,115732,Good,53348
Samsung,Galaxy A54,2021,3,6,256,59569,Excellent,36913
OnePlus,OnePlus 11R,2021,3,16,64,96958,Good,42604
Xiaomi,Mi 11 Lite,2020,4,12,128,92258,Good,35749
OnePlus,OnePlus Nord CE 3,2022,2,16,64,54214,Good,34942
Vivo,T2,2019,5,16,256,20626,Good,33239
Realme,Realme 10,2023,1,8,512,99976,Good,64987
Realme,Realme GT 2,2021,3,12,128,20776,Excellent,22230
Xiaomi,Redmi 12,2022,2,8,64,97879,Good,41044
Apple,iPhone 12,2022,2,4,128,26536,Good,19046
Samsung,Galaxy S23,2022,2,16,64,115737,Fair,45751
Oppo,Reno 8,2023,1,6,128,45015,Good,29916
Vivo,T2,2023,1,4,64,66195,Fair,21862
Vivo,T2,2019,5,4,512,67269,Excellent,37663
Vivo,Y100,2022,2,4,128,89663,Excellent,39120
Apple,iPhone 14,2019,5,4,64,98869,Excellent,21078
Vivo,V25,2020,4,6,128,83577,Excellent,29416
Google,Pixel 7 Pro,2023,1,8,256,16925,Good,28461
Realme,Realme GT 2,2019,5,6,512,117215,Fair,42828
Vivo,T2,2021,3,12,512,81435,Good,58193
Realme,Realme Narzo 60,2019,5,12,128,51877,Excellent,22459
Realme,Realme GT 2,2023,1,4,64,98186,Good,43531
OnePlus,OnePlus 11R,2023,1,16,256,107447,Good,65131
Apple,iPhone 12,2023,1,4,256,75315,Excellent,59853
Oppo,Reno 8,2022,2,4,128,74321,Fair,25619
OnePlus,OnePlus Nord CE 3,2022,2,12,512,54063,Good,52505
Samsung,Galaxy A34,2020,4,16,128,37015,Good,29706
OnePlus,OnePlus Nord 3,2020,4,8,256,60241,Poor,23682
Oppo,F21 Pro,2023,1,4,256,34975,Good,28972
Apple,iPhone 11,2020,4,16,64,59965,Good,30071
OnePlus,OnePlus 11R,2019,5,12,128,84350,Excellent,27900
Samsung,Galaxy A34,2020,4,8,64,28760,Fair,14102
Oppo,A78,2020,4,8,128,97189,Good,29258
OnePlus,OnePlus Nord 3,2019,5,4,64,119199,Good,19600
Google,Pixel 6a,2022,2,12,64,50946,Fair,29509
Oppo,Reno 8,2019,5,12,512,98310,Fair,42327
Oppo,Reno 7,2020,4,6,64,62614,Good,17267
Samsung,Galaxy A54,2023,1,16,256,44856,Good,41916
Apple,iPhone 11,2023,1,6,512,118674,Excellent,104847
Apple,iPhone SE,2019,5,8,128,24110,Good,16270
Google,Pixel 6a,2023,1,12,512,16969,Good,46179
Apple,iPhone SE,2019,5,16,512,28669,Fair,41595
Apple,iPhone 14,2020,4,8,128,70409,Good,30967
Realme,Realme GT 2,2019,5,12,256,57823,Fair,31576
Samsung,Galaxy A54,2023,1,16,64,23125,Good,30954
Vivo,V27,2019,5,4,64,87460,Fair,13943
Samsung,Galaxy A54,2022,2,6,64,116477,Good,47849
Vivo,V25,2020,4,16,64,40426,Fair,23453
Vivo,V27,2023,1,4,512,118110,Good,67109
Oppo,Reno 8,2019,5,4,512,108680,Good,36294
Xiaomi,Poco F5,2020,4,6,128,92576,Good,28792
Google,Pixel 6a,2022,2,16,64,16177,Excellent,24169
Google,Pixel 7,2022,2,12,256,88770,Fair,51113
Apple,iPhone 11,2021,3,8,64,39596,Excellent,22662
Realme,Realme 11,2022,2,4,512,23906,Good,33938
Oppo,A78,2020,4,16,512,22151,Good,46588
Oppo,Reno 7,2021,3,6,512,79157,Fair,42629
OnePlus,OnePlus Nord 3,2019,5,8,256,59139,Excellent,28037
Realme,Realme Narzo 60,2019,5,6,64,21441,Poor,10011
Vivo,V27,2022,2,16,128,91666,Excellent,54667
Oppo,Reno 7,2019,5,6,64,96929,Excellent,20251
Apple,iPhone 14,2020,4,8,64,70826,Fair,23304
Samsung,Galaxy S22,2021,3,12,128,83576,Good,36586
Samsung,Galaxy A54,2022,2,6,64,32014,Good,18149
Oppo,A78,2022,2,8,128,89696,Good,39621
Vivo,V27,2020,4,8,256,80108,Good,32915
Oppo,Reno 8,2019,5,8,256,44371,Fair,24625
Vivo,V25,2023,1,12,512,88379,Excellent,71056
Xiaomi,Redmi Note 12,2022,2,16,64,79315,Excellent,48604
Xiaomi,Redmi Note 11,2020,4,8,128,115732,Good,30444
Apple,iPhone 11,2020,4,4,256,24686,Good,20005
OnePlus,OnePlus Nord 3,2022,2,16,64,63604,Good,34376
Google,Pixel 6a,2019,5,12,64,61479,Good,24033
Google,Pixel 6a,2023,1,12,256,63231,Excellent,59753
Google,Pixel 6,2019,5,4,128,113452,Excellent,26085
Google,Pixel 7 Pro,2019,5,16,512,25699,Fair,45846
Vivo,Y100,2019,5,6,64,99328,Excellent,22965
Samsung,Galaxy S23,2021,3,8,512,57685,Good,49002
Realme,Realme 10,2021,3,8,256,19437,Good,24425
OnePlus,OnePlus 11,2019,5,6,128,40169,Good,16885
Apple,iPhone 12,2022,2,4,256,39226,Excellent,35713
Apple,iPhone 11,2020,4,6,64,89520,Good,26783
Realme,Realme 10,2019,5,16,512,26138,Poor,45558
Oppo,A58,2020,4,16,128,32347,Excellent,31260
OnePlus,OnePlus Nord CE 3,2022,2,16,256,48613,Fair,37274
Realme,Realme 10,2023,1,8,128,75545,Good,36698
Xiaomi,Redmi Note 11,2021,3,6,128,119792,Excellent,48382
Oppo,Reno 8,2021,3,4,256,76588,Excellent,35562
Xiaomi,Mi 11 Lite,2019,5,12,512,114942,Good,46197
OnePlus,OnePlus Nord CE 3,2023,1,12,512,27411,Fair,46590
Oppo,Reno 7,2023,1,8,256,111410,Good,61514
Oppo,A58,2023,1,6,128,104818,Good,49884
Oppo,F21 Pro,2020,4,16,64,75428,Excellent,31938
Oppo,A58,2020,4,16,64,15671,Good,19955
OnePlus,OnePlus 11,2023,1,12,512,44300,Good,48625
OnePlus,OnePlus Nord CE 3,2022,2,6,512,87930,Good,54431
Vivo,V25,2023,1,6,64,68352,Excellent,38264
Samsung,Galaxy S23,2020,4,12,512,21172,Good,45020
Google,Pixel 6,2023,1,12,256,107961,Good,68842
Samsung,Galaxy S23,2022,2,16,256,62684,Fair,44265
Oppo,A58,2019,5,8,64,22788,Fair,11890
Samsung,Galaxy M34,2022,2,16,512,59857,Good,66628
OnePlus,OnePlus 11,2021,3,8,512,72906,Excellent,48602
Vivo,V25,2022,2,4,256,76063,Fair,33590
Apple,iPhone 13,2021,3,4,512,112661,Good,56495
Samsung,Galaxy S22,2020,4,6,64,100667,Good,30163
Vivo,Y56,2023,1,12,128,72866,Excellent,44383
Apple,iPhone 14,2019,5,8,128,70419,Good,21970
OnePlus,OnePlus Nord 3,2022,2,16,512,108471,Good,64272
Oppo,A78,2020,4,4,512,65408,Good,40886
Vivo,Y56,2022,2,8,512,72941,Fair,46660
OnePlus,OnePlus 11R,2023,1,6,128,79028,Good,35447
Apple,iPhone 12,2022,2,16,128,18754,Fair,28997
Xiaomi,Poco F5,2023,1,12,256,24496,Fair,28935
Apple,iPhone 13,2019,5,12,64,64666,Poor,17550
Google,Pixel 6,2020,4,6,256,83056,Good,36627
Realme,Realme Narzo 60,2021,3,6,64,82695,Fair,23092
Vivo,V25,2020,4,6,128,50851,Fair,17401
Apple,iPhone SE,2019,5,12,256,51751,Excellent,31794
Google,Pixel 7 Pro,2023,1,6,512,24596,Good,44135
Vivo,T2,2020,4,16,128,118892,Excellent,42317
Apple,iPhone 11,2022,2,4,64,30379,Good,19624
Oppo,A78,2023,1,6,256,21643,Good,26512
Apple,iPhone 13,2021,3,12,512,83926,Excellent,61214
Oppo,Reno 7,2020,4,16,256,25258,Good,30431
Realme,Realme 11,2019,5,6,256,16651,Excellent,22051
Realme,Realme Narzo 60,2019,5,12,128,90564,Excellent,30072
OnePlus,OnePlus Nord CE 3,2021,3,12,256,29472,Poor,26070
OnePlus,OnePlus 11R,2020,4,6,256,69220,Fair,27571
Vivo,Y56,2019,5,8,64,99530,Poor,14924
Vivo,V25,2021,3,16,64,22999,Excellent,26801
Apple,iPhone SE,2022,2,6,512,44309,Fair,43975
Samsung,Galaxy S23,2022,2,4,128,32069,Good,19110
Realme,Realme GT 2,2019,5,12,64,95797,Good,22305
Vivo,Y100,2021,3,12,128,32015,Poor,21013
Realme,Realme 10,2019,5,16,128,56800,Good,25332
OnePlus,OnePlus Nord 3,2020,4,8,64,30892,Good,15734
Realme,Realme 10,2020,4,8,512,92454,Fair,43742
Apple,iPhone 11,2019,5,16,128,43228,Good,26327
Google,Pixel 7,2021,3,8,64,77292,Good,30963
Samsung,Galaxy S23,2020,4,16,512,106006,Good,65163
Realme,Realme 11,2019,5,16,64,22521,Good,21577
Realme,Realme 10,2019,5,4,128,65669,Good,16751
Oppo,A58,2020,4,4,128,80633,Fair,19916
Realme,Realme 10,2022,2,12,256,63777,Poor,34766
Samsung,Galaxy M34,2022,2,6,256,24283,Fair,24845
Google,Pixel 6,2023,1,12,512,15781,Good,43708
Apple,iPhone 11,2020,4,4,256,115417,Excellent,46012
Google,Pixel 6,2019,5,6,512,33658,Excellent,37797
Samsung,Galaxy A54,2020,4,8,256,21852,Poor,21294
Apple,iPhone 11,2022,2,4,512,72828,Good,59452
Realme,Realme Narzo 60,2020,4,6,512,44139,Good,35915
Google,Pixel 7 Pro,2023,1,8,256,94473,Excellent,69078
OnePlus,OnePlus 11R,2023,1,12,512,35074,Good,52166
Vivo,T2,2019,5,12,256,95685,Good,37463
Oppo,A58,2023,1,16,128,16283,Poor,27279
Xiaomi,Poco F5,2023,1,4,256,41819,Fair,29607
Vivo,Y56,2021,3,16,512,112756,Good,71288
Vivo,T2,2022,2,12,64,45090,Poor,21514
Samsung,Galaxy M34,2020,4,8,512,27763,Good,36676
OnePlus,OnePlus Nord CE 3,2020,4,4,64,74042,Excellent,20764
Realme,Realme 10,2020,4,8,64,99246,Good,25894
Oppo,Reno 7,2021,3,8,256,93112,Excellent,46980
Apple,iPhone 12,2022,2,4,512,43795,Poor,33798
Google,Pixel 7 Pro,2021,3,12,128,102960,Good,44721
Oppo,A78,2019,5,16,64,23179,Poor,21745
Realme,Realme 11,2021,3,12,64,71526,Good,33029
Xiaomi,Poco F5,2021,3,8,128,30223,Good,19741
Oppo,A78,2021,3,8,512,23472,Good,34981
Vivo,V27,2021,3,8,256,36778,Fair,24278
Realme,Realme 10,2019,5,8,512,94222,Good,43942
OnePlus,OnePlus Nord 3,2023,1,16,512,46655,Good,51885
Samsung,Galaxy A34,2019,5,8,64,26240,Good,14874
OnePlus,OnePlus 11,2022,2,12,512,29849,Good,46601
Samsung,Galaxy M34,2019,5,12,256,81314,Poor,31136
Realme,Realme 11,2023,1,12,64,57946,Good,36043
Samsung,Galaxy M34,2019,5,12,256,24168,Excellent,30752
Google,Pixel 7,2022,2,12,128,79046,Excellent,49956
OnePlus,OnePlus 11R,2023,1,8,128,111019,Fair,43902
Realme,Realme Narzo 60,2022,2,12,512,102445,Fair,64679
OnePlus,OnePlus Nord 3,2020,4,8,256,77824,Good,33824
Vivo,V27,2020,4,4,64,101795,Good,24960
Xiaomi,Mi 11 Lite,2020,4,4,64,90868,Good,21899
Vivo,T2,2023,1,12,512,86344,Good,59673
Vivo,V27,2021,3,12,512,118001,Good,62137
Google,Pixel 6a,2020,4,8,128,107541,Good,37610
Samsung,Galaxy S23,2019,5,16,256,59602,Good,38242
Oppo,A78,2021,3,8,64,74518,Good,26610
OnePlus,OnePlus 11,2022,2,16,64,87124,Good,45768
Realme,Realme GT 2,2020,4,16,512,93682,Excellent,62179
Realme,Realme Narzo 60,2019,5,12,128,61737,Excellent,25208
Realme,Realme GT 2,2020,4,16,256,49542,Good,38363
Samsung,Galaxy A34,2020,4,8,256,29376,Poor,24052
Samsung,Galaxy S22,2020,4,8,256,89637,Good,40181
Samsung,Galaxy A34,2021,3,12,128,75058,Fair,33045
Xiaomi,Redmi 12,2019,5,4,128,109475,Good,21014
Oppo,F21 Pro,2023,1,16,128,92872,Good,52831
Google,Pixel 7,2022,2,16,128,32514,Good,34654
Realme,Realme 11,2023,1,6,128,51027,Good,28636
Xiaomi,Mi 11 Lite,2022,2,4,256,97279,Fair,33597
Xiaomi,Redmi Note 12,2022,2,12,64,60734,Good,29655
Realme,Realme GT 2,2023,1,4,64,99526,Excellent,43269
OnePlus,OnePlus Nord 3,2022,2,8,256,59014,Excellent,39894
Samsung,Galaxy S23,2023,1,6,512,106575,Poor,50157
OnePlus,OnePlus 11R,2023,1,6,64,22069,Excellent,18224
Xiaomi,Redmi Note 11,2022,2,6,256,22597,Excellent,25801
Apple,iPhone 12,2020,4,8,64,68161,Poor,16381
Apple,iPhone 11,2023,1,8,256,38173,Good,40134
Samsung,Galaxy M34,2023,1,8,256,29973,Good,31650
Google,Pixel 6a,2022,2,16,64,30848,Good,29974
Vivo,Y56,2021,3,8,256,24569,Good,24477
Samsung,Galaxy M34,2022,2,16,512,15138,Good,45003
OnePlus,OnePlus 11,2023,1,8,64,73478,Fair,28184
Oppo,Reno 8,2021,3,12,128,115455,Good,45690
Xiaomi,Redmi Note 11,2023,1,12,64,105768,Fair,45603
Realme,Realme GT 2,2021,3,16,128,39842,Good,30689
Vivo,Y56,2021,3,12,64,106088,Good,37703
Apple,iPhone 11,2019,5,8,256,118065,Poor,27791
Google,Pixel 6a,2020,4,12,128,73954,Good,34539
Realme,Realme Narzo 60,2021,3,4,256,51593,Fair,27309
Xiaomi,Redmi 12,2022,2,8,256,21142,Good,28201
Xiaomi,Redmi Note 12,2022,2,16,64,17384,Fair,24647
Xiaomi,Poco F5,2021,3,16,64,40518,Good,30269
Google,Pixel 6a,2023,1,8,256,34337,Excellent,36774
Google,Pixel 6,2020,4,4,512,96442,Good,52834
Realme,Realme Narzo 60,2021,3,6,512,99761,Fair,46086
Realme,Realme Narzo 60,2019,5,12,64,24764,Fair,15838
Google,Pixel 6,2023,1,12,512,56160,Fair,59340
Apple,iPhone 14,2020,4,12,128,115318,Excellent,46472
Xiaomi,Mi 11 Lite,2023,1,16,512,102329,Excellent,76697
Vivo,V25,2019,5,6,128,71699,Fair,16178
Apple,iPhone 13,2023,1,12,128,83487,Good,51455
Realme,Realme Narzo 60,2023,1,16,256,82904,Good,53122
Oppo,A58,2021,3,16,256,104400,Fair,43152
Realme,Realme Narzo 60,2020,4,6,512,16589,Excellent,36055
Vivo,V25,2022,2,12,64,29743,Good,23615
OnePlus,OnePlus 11R,2021,3,6,512,108814,Excellent,64935
Google,Pixel 6a,2021,3,4,512,63688,Good,42009
Apple,iPhone SE,2020,4,6,512,59757,Fair,37561
Apple,iPhone 14,2023,1,12,64,70103,Good,42508
Samsung,Galaxy A54,2021,3,4,256,20793,Good,23274
Realme,Realme Narzo 60,2023,1,8,64,63695,Poor,19224
Apple,iPhone 13,2023,1,4,512,107122,Fair,68343
Realme,Realme Narzo 60,2023,1,16,256,30372,Excellent,39366
Xiaomi,Redmi Note 12,2022,2,4,128,86368,Excellent,41641
OnePlus,OnePlus 11R,2020,4,4,64,37005,Poor,9865
Samsung,Galaxy A54,2020,4,8,512,69120,Excellent,51709
Apple,iPhone SE,2023,1,12,256,95769,Good,69242
Xiaomi,Redmi Note 12,2022,2,16,256,98692,Good,51691
Realme,Realme GT 2,2020,4,8,512,70621,Good,43681
