brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size,release_year,age_years,condition,original_price,fair_price
MSI,i7,64,512,SSD,RTX 4070,13.0,2022,2,Excellent,168025,56824
Acer,i9,8,2048,SSD,GTX 1650,17.0,2021,3,Good,121503,24302
HP,Ryzen 7,8,2048,SSD,M2 GPU,14.0,2019,5,Good,130402,17348
Asus,i9,64,2048,HDD,GTX 1650,13.0,2021,3,Poor,168847,17276
HP,i7,64,256,SSD,RTX 3050,15.6,2022,2,Fair,151727,28513
Lenovo,i5,8,1024,SSD,M2 GPU,13.0,2019,5,Fair,90596,8523
HP,i7,8,1024,SSD,RTX 4070,14.0,2022,2,Excellent,145702,45744
Asus,M2,64,512,SSD,RTX 3050,13.0,2020,4,Good,178819,34000
MSI,Ryzen 5,64,256,SSD,M2 GPU,13.0,2020,4,Poor,124284,11321
Dell,Ryzen 7,8,1024,SSD,RTX 3060,16.0,2022,2,Excellent,117837,39275
Acer,i9,32,512,SSD,RTX 4070,17.0,2020,4,Good,173482,27123
Asus,Ryzen 9,64,256,SSD,RTX 4070,14.0,2019,5,Good,175921,24097
MSI,i5,32,2048,SSD,GTX 1650,16.0,2018,6,Excellent,109506,15628
HP,M2,16,1024,HDD,RTX 4070,17.0,2022,2,Good,153356,41255
Acer,i9,8,1024,HDD,RTX 4070,16.0,2021,3,Excellent,140436,38513
Acer,Ryzen 9,32,512,HDD,M2 GPU,15.6,2022,2,Good,121806,26910
Apple,M1,8,1024,SSD,Integrated,15.6,2022,2,Good,89065,29650
Dell,M1,8,512,SSD,GTX 1650,16.0,2022,2,Excellent,105021,39157
Acer,Ryzen 5,32,2048,SSD,RTX 3050,15.6,2021,3,Excellent,115300,28262
MSI,i3,8,512,SSD,M2 GPU,13.0,2020,4,Poor,72670,8000
Apple,M1,64,256,SSD,RTX 3060,16.0,2019,5,Good,164245,27554
Asus,M2,64,2048,SSD,M2 GPU,13.0,2018,6,Fair,202962,14850
Asus,i7,8,512,HDD,RTX 4070,13.0,2019,5,Fair,110902,11294
Asus,Ryzen 9,64,256,HDD,GTX 1650,13.0,2020,4,Good,153333,30224
Lenovo,i3,8,256,SSD,RTX 3050,13.0,2022,2,Fair,61055,12819
MSI,Ryzen 5,16,1024,SSD,RTX 4070,17.0,2022,2,Good,130375,36172
Dell,i3,32,256,SSD,M1 GPU,13.0,2018,6,Excellent,90420,10986
MSI,i5,16,512,HDD,GTX 1650,16.0,2018,6,Good,74768,8667
Dell,i3,64,1024,SSD,M2 GPU,17.0,2022,2,Fair,143902,30727
Apple,i5,16,512,SSD,M1 GPU,15.6,2020,4,Good,90789,20830
MSI,Ryzen 9,16,1024,SSD,RTX 4070,16.0,2019,5,Good,170394,24972
Asus,i5,16,256,SSD,M1 GPU,15.6,2020,4,Excellent,75842,16101
MSI,Ryzen 7,64,2048,SSD,RTX 3060,13.0,2020,4,Good,194550,42634
Asus,i7,32,256,SSD,RTX 3060,14.0,2022,2,Good,114201,30280
Apple,i5,8,512,SSD,RTX 3050,13.0,2019,5,Good,85850,13845
Acer,i3,16,2048,HDD,Integrated,15.6,2022,2,Good,69126,18180
Acer,Ryzen 9,16,2048,HDD,GTX 1650,15.6,2020,4,Fair,117821,14247
MSI,i5,16,512,SSD,M2 GPU,13.0,2022,2,Good,88026,27511
Acer,M2,8,256,SSD,RTX 3060,14.0,2020,4,Good,135928,22927
Acer,i5,32,2048,SSD,RTX 3060,15.6,2019,5,Good,132988,17464
HP,M1,32,256,SSD,Integrated,13.0,2022,2,Excellent,97557,29558
Apple,M1,32,256,SSD,RTX 3050,17.0,2021,3,Fair,138530,28802
Lenovo,i9,32,512,HDD,M1 GPU,15.6,2023,1,Good,141163,45046
Lenovo,Ryzen 5,16,512,SSD,RTX 3050,16.0,2018,6,Good,90063,9389
Acer,Ryzen 7,8,512,SSD,RTX 3060,17.0,2020,4,Good,102896,16912
Asus,Ryzen 9,16,2048,SSD,GTX 1650,16.0,2018,6,Excellent,123392,14068
MSI,M1,16,1024,HDD,M2 GPU,13.0,2022,2,Poor,124736,15343
Lenovo,M2,16,2048,SSD,Integrated,16.0,2022,2,Fair,128057,23794
Acer,i7,8,256,HDD,RTX 3050,14.0,2023,1,Fair,86973,17374
MSI,M1,16,2048,SSD,M1 GPU,13.0,2018,6,Fair,125876,9639
Acer,Ryzen 5,64,2048,SSD,RTX 3050,15.6,2020,4,Excellent,152783,34152
Asus,i3,64,512,HDD,RTX 3060,17.0,2023,1,Fair,138663,32463
Dell,i9,16,512,HDD,RTX 3050,14.0,2018,6,Good,109549,10700
Asus,M1,64,2048,SSD,RTX 4070,17.0,2021,3,Fair,225601,37412
Lenovo,i9,64,512,SSD,RTX 4070,16.0,2020,4,Good,220546,38763
MSI,M1,16,512,SSD,M2 GPU,16.0,2020,4,Good,129284,26900
Asus,M1,32,512,HDD,M2 GPU,14.0,2018,6,Fair,128027,9818
Acer,Ryzen 9,8,512,SSD,GTX 1650,16.0,2023,1,Good,107817,29125
Lenovo,M1,32,256,SSD,RTX 4070,13.0,2019,5,Excellent,165449,29108
MSI,i9,8,512,HDD,GTX 1650,14.0,2020,4,Good,105797,20014
Apple,i7,16,2048,SSD,RTX 3060,17.0,2018,6,Good,134202,16971
Apple,i5,8,256,SSD,RTX 3060,13.0,2018,6,Fair,87997,8000
Dell,Ryzen 9,8,2048,SSD,M2 GPU,15.6,2020,4,Good,148393,27411
Dell,M1,32,512,SSD,RTX 3050,14.0,2019,5,Good,130895,18706
Lenovo,i9,8,2048,HDD,M2 GPU,15.6,2019,5,Good,119268,16744
MSI,Ryzen 9,64,2048,HDD,RTX 4070,13.0,2018,6,Good,189823,21166
Asus,M1,16,256,HDD,RTX 3050,15.6,2018,6,Fair,108719,8139
Acer,M1,16,1024,HDD,RTX 3060,17.0,2023,1,Good,114801,34781
MSI,Ryzen 9,8,1024,HDD,RTX 4070,15.6,2021,3,Fair,142973,27724
Asus,i9,32,512,HDD,RTX 3050,16.0,2021,3,Good,138352,31000
HP,Ryzen 5,64,1024,HDD,M1 GPU,16.0,2018,6,Good,136359,13593
Dell,i5,32,256,SSD,GTX 1650,17.0,2018,6,Excellent,86593,11771
Apple,i5,32,256,SSD,GTX 1650,17.0,2019,5,Good,92392,16437
Dell,Ryzen 7,16,2048,SSD,GTX 1650,17.0,2020,4,Fair,122040,16821
Apple,M2,8,1024,SSD,Integrated,14.0,2022,2,Good,111335,33857
Apple,Ryzen 7,32,256,SSD,RTX 3060,15.6,2019,5,Fair,110551,13972
Apple,i3,32,1024,SSD,M1 GPU,14.0,2023,1,Good,90846,33556
MSI,i9,32,1024,HDD,Integrated,15.6,2022,2,Good,109850,31976
Dell,M2,64,256,SSD,RTX 4070,15.6,2019,5,Excellent,206322,34379
Apple,i7,16,512,SSD,RTX 3050,17.0,2021,3,Poor,110394,14950
Dell,Ryzen 9,8,1024,SSD,RTX 3050,17.0,2018,6,Good,122779,13148
Dell,i5,8,2048,SSD,GTX 1650,13.0,2022,2,Excellent,98228,34567
Dell,Ryzen 9,16,256,SSD,M2 GPU,17.0,2018,6,Excellent,112622,14123
Asus,i5,32,512,SSD,RTX 3050,14.0,2020,4,Excellent,111907,26156
Lenovo,i5,32,256,SSD,GTX 1650,16.0,2018,6,Good,91698,9615
Dell,i5,32,1024,HDD,M1 GPU,15.6,2022,2,Poor,98567,12900
MSI,i9,8,512,SSD,M1 GPU,17.0,2021,3,Fair,113830,22373
HP,M2,32,1024,SSD,Integrated,13.0,2020,4,Good,137097,25186
HP,Ryzen 5,8,2048,SSD,M1 GPU,13.0,2018,6,Excellent,94897,12178
Asus,Ryzen 5,32,2048,SSD,M2 GPU,15.6,2023,1,Excellent,133971,57098
Lenovo,M1,64,256,SSD,RTX 4070,15.6,2022,2,Excellent,173724,58681
Dell,i3,16,1024,HDD,RTX 4070,17.0,2023,1,Fair,117038,29069
HP,i3,8,1024,SSD,GTX 1650,14.0,2023,1,Fair,75849,15902
Asus,M1,8,1024,SSD,RTX 3060,17.0,2019,5,Good,122944,16266
Asus,M2,32,256,HDD,GTX 1650,13.0,2018,6,Excellent,134857,16347
MSI,Ryzen 7,64,1024,HDD,GTX 1650,14.0,2023,1,Excellent,147477,68609
Asus,i3,16,2048,HDD,M1 GPU,17.0,2020,4,Good,83065,15499
Lenovo,i3,16,2048,HDD,RTX 3060,13.0,2020,4,Fair,99831,14406
Dell,Ryzen 5,16,2048,SSD,M1 GPU,16.0,2022,2,Fair,112998,20226
MSI,Ryzen 5,16,1024,SSD,RTX 3060,14.0,2023,1,Good,109338,34770
Asus,i3,8,256,SSD,GTX 1650,16.0,2022,2,Excellent,60190,21226
HP,M2,64,512,SSD,RTX 3060,17.0,2022,2,Excellent,203090,68338
Apple,i3,64,512,HDD,M1 GPU,13.0,2023,1,Excellent,119829,63439
MSI,i9,32,1024,SSD,RTX 3060,17.0,2020,4,Good,168159,35812
Lenovo,Ryzen 9,16,512,SSD,RTX 4070,16.0,2018,6,Fair,137145,10038
Asus,i9,64,512,HDD,RTX 3060,15.6,2020,4,Poor,190029,14104
Asus,Ryzen 5,32,2048,HDD,RTX 3060,15.6,2018,6,Good,114661,10725
Acer,i5,8,1024,SSD,Integrated,16.0,2019,5,Good,74028,10330
Acer,M2,8,256,HDD,M2 GPU,15.6,2023,1,Excellent,125255,47407
Apple,Ryzen 5,64,2048,HDD,RTX 3060,13.0,2023,1,Excellent,136672,69851
Apple,M2,16,2048,SSD,M2 GPU,17.0,2022,2,Good,165942,60866
Dell,M1,8,512,SSD,GTX 1650,15.6,2022,2,Poor,100935,13482
Lenovo,Ryzen 7,32,2048,SSD,RTX 3060,13.0,2023,1,Good,138346,44552
Apple,i3,16,2048,SSD,RTX 3060,13.0,2019,5,Fair,113773,13347
Asus,i9,16,512,SSD,M1 GPU,14.0,2023,1,Fair,123598,24893
Apple,i3,64,1024,SSD,RTX 3050,13.0,2023,1,Good,138148,51338
Apple,M1,64,512,SSD,RTX 3060,15.6,2020,4,Good,185581,45155
HP,i7,32,256,SSD,M1 GPU,15.6,2019,5,Good,101239,12453
Asus,i7,16,1024,HDD,RTX 3060,17.0,2022,2,Good,118489,31191
HP,Ryzen 7,16,1024,SSD,Integrated,15.6,2020,4,Good,79718,12915
Acer,i3,32,2048,SSD,RTX 4070,14.0,2022,2,Good,159318,40443
Acer,i9,64,2048,SSD,RTX 3050,13.0,2021,3,Good,177552,37018
MSI,i5,64,512,SSD,RTX 3050,15.6,2019,5,Good,148298,23399
Asus,i3,32,512,HDD,M1 GPU,14.0,2021,3,Good,82838,18050
Acer,M2,16,512,HDD,M2 GPU,13.0,2021,3,Excellent,136491,34693
Dell,i5,32,256,SSD,Integrated,16.0,2021,3,Good,88611,19203
Lenovo,Ryzen 7,16,2048,SSD,GTX 1650,16.0,2023,1,Good,104994,33611
Apple,i3,8,2048,SSD,RTX 3060,13.0,2020,4,Good,109964,25032
Dell,M1,64,2048,SSD,M2 GPU,16.0,2020,4,Good,176175,29849
MSI,Ryzen 5,64,512,SSD,M2 GPU,15.6,2023,1,Excellent,130104,51650
Lenovo,i9,8,512,HDD,RTX 3050,14.0,2018,6,Fair,114088,8230
MSI,i5,32,2048,SSD,M2 GPU,17.0,2021,3,Good,139485,35561
HP,Ryzen 5,8,1024,SSD,M1 GPU,17.0,2023,1,Good,77035,24512
Lenovo,i5,16,256,HDD,M2 GPU,13.0,2021,3,Fair,80729,14558
Dell,i7,32,2048,HDD,RTX 4070,13.0,2019,5,Excellent,149336,27749
MSI,M2,8,256,HDD,RTX 4070,13.0,2022,2,Fair,151503,34680
Asus,Ryzen 7,16,2048,SSD,M1 GPU,14.0,2019,5,Good,126918,18888
Dell,M1,16,512,SSD,RTX 4070,13.0,2021,3,Good,147163,32865
Asus,M2,8,256,SSD,RTX 3050,16.0,2023,1,Good,111585,35169
HP,i5,16,256,SSD,GTX 1650,14.0,2023,1,Fair,81213,15810
Asus,i5,64,256,SSD,RTX 3060,15.6,2023,1,Fair,150060,33418
Asus,Ryzen 9,32,1024,HDD,RTX 4070,16.0,2018,6,Good,168042,15316
Asus,Ryzen 7,32,512,SSD,RTX 3060,17.0,2021,3,Poor,129252,13112
HP,i9,16,512,SSD,RTX 4070,16.0,2019,5,Excellent,142354,24781
HP,Ryzen 9,8,1024,HDD,Integrated,14.0,2022,2,Poor,84666,9620
MSI,Ryzen 7,8,2048,SSD,GTX 1650,15.6,2022,2,Fair,107133,24549
Dell,M2,32,512,SSD,Integrated,17.0,2019,5,Good,140400,19020
Asus,i9,16,2048,HDD,RTX 3060,14.0,2018,6,Good,126836,12186
HP,Ryzen 5,32,256,HDD,GTX 1650,13.0,2022,2,Excellent,78586,25797
Apple,Ryzen 9,64,1024,SSD,M1 GPU,17.0,2022,2,Excellent,154987,62988
MSI,Ryzen 5,16,1024,SSD,RTX 4070,13.0,2018,6,Good,111992,12842
Apple,Ryzen 7,16,2048,SSD,M1 GPU,16.0,2022,2,Excellent,127302,52266
Lenovo,Ryzen 7,8,1024,SSD,Integrated,16.0,2019,5,Excellent,81679,15282
Acer,M1,16,1024,SSD,RTX 4070,14.0,2020,4,Excellent,142585,29371
Acer,i3,32,512,SSD,RTX 3060,16.0,2019,5,Excellent,114610,19319
Dell,Ryzen 9,64,512,SSD,Integrated,16.0,2018,6,Poor,141145,8000
Acer,Ryzen 9,64,1024,SSD,RTX 4070,16.0,2021,3,Good,194489,36474
Acer,i5,64,1024,HDD,RTX 4070,16.0,2023,1,Excellent,153757,50733
MSI,i5,8,512,SSD,GTX 1650,15.6,2018,6,Good,71763,8000
MSI,i9,16,1024,SSD,M1 GPU,15.6,2023,1,Good,128691,43610
Dell,Ryzen 7,16,256,SSD,GTX 1650,15.6,2021,3,Good,90418,18713
Lenovo,i5,32,512,HDD,GTX 1650,14.0,2018,6,Good,91352,8803
MSI,i3,16,2048,HDD,RTX 4070,16.0,2020,4,Fair,123233,18539
HP,M1,8,512,SSD,M2 GPU,16.0,2022,2,Poor,112099,12606
Asus,i9,16,256,SSD,M1 GPU,17.0,2020,4,Good,117750,19739
Lenovo,Ryzen 5,32,512,SSD,GTX 1650,15.6,2019,5,Good,83863,13152
Lenovo,M2,32,256,SSD,M1 GPU,15.6,2021,3,Good,144329,31231
Asus,Ryzen 9,64,2048,SSD,RTX 3060,16.0,2023,1,Excellent,198028,82793
Acer,i7,32,1024,SSD,M1 GPU,17.0,2022,2,Excellent,129624,39326
Lenovo,Ryzen 5,16,512,SSD,GTX 1650,14.0,2022,2,Excellent,71671,23501
Asus,Ryzen 5,16,256,HDD,RTX 3060,13.0,2020,4,Good,85308,15368
MSI,Ryzen 5,16,512,SSD,RTX 3060,16.0,2019,5,Good,95539,14402
Acer,Ryzen 5,16,256,SSD,Integrated,13.0,2018,6,Good,64332,8000
HP,i5,16,2048,HDD,RTX 4070,16.0,2020,4,Good,122888,20877
Dell,i3,64,1024,SSD,RTX 3050,17.0,2021,3,Good,135329,28125
Dell,Ryzen 9,32,256,SSD,RTX 3050,13.0,2022,2,Good,131224,35382
Apple,i9,32,1024,SSD,RTX 3060,15.6,2020,4,Good,155223,37862
HP,Ryzen 7,32,2048,SSD,Integrated,13.0,2018,6,Good,116190,9923
Acer,i9,16,256,SSD,GTX 1650,14.0,2019,5,Good,116571,16302
Acer,Ryzen 5,64,1024,SSD,RTX 3060,14.0,2020,4,Excellent,138129,29736
Dell,M2,64,1024,SSD,GTX 1650,13.0,2019,5,Good,195950,25899
Lenovo,i3,64,256,SSD,M1 GPU,13.0,2021,3,Good,127886,30752
Asus,M1,16,2048,SSD,M2 GPU,16.0,2020,4,Fair,137853,17230
Apple,i5,16,256,SSD,RTX 3060,15.6,2019,5,Good,89556,16836
Asus,Ryzen 7,32,256,SSD,RTX 3050,15.6,2022,2,Good,101981,28881
Asus,M1,16,512,SSD,Integrated,16.0,2022,2,Good,101171,25011
HP,i5,32,256,SSD,M1 GPU,15.6,2020,4,Good,99607,17224
Apple,Ryzen 7,16,512,HDD,RTX 3060,13.0,2023,1,Poor,97811,16760
Lenovo,i7,32,1024,SSD,RTX 3050,17.0,2019,5,Good,124628,18613
Acer,i7,16,256,SSD,M1 GPU,17.0,2019,5,Good,97272,13142
Apple,i3,32,1024,SSD,M1 GPU,15.6,2022,2,Good,99567,33699
Acer,M1,16,512,HDD,M2 GPU,16.0,2021,3,Good,109944,20870
Asus,Ryzen 7,8,1024,HDD,RTX 3050,17.0,2021,3,Fair,82278,12568
MSI,i9,8,1024,HDD,M2 GPU,15.6,2018,6,Good,129308,13719
Apple,i9,64,1024,SSD,M1 GPU,16.0,2020,4,Poor,183399,17940
Apple,i5,32,256,HDD,M1 GPU,17.0,2023,1,Good,93838,39536
HP,i7,16,512,HDD,RTX 4070,17.0,2021,3,Good,136808,28795
Acer,i9,16,1024,HDD,RTX 3050,13.0,2018,6,Excellent,109971,11814
Apple,M2,32,2048,SSD,RTX 3060,17.0,2023,1,Excellent,176005,78691
MSI,i7,32,2048,HDD,GTX 1650,14.0,2018,6,Excellent,120309,16465
Lenovo,i9,16,512,SSD,RTX 4070,16.0,2019,5,Good,151261,23360
HP,M1,32,2048,SSD,M2 GPU,17.0,2019,5,Fair,169426,16669
Asus,Ryzen 5,16,256,SSD,GTX 1650,17.0,2018,6,Poor,71480,8000
Dell,M2,8,512,HDD,M2 GPU,14.0,2018,6,Good,134835,13560
Asus,i5,64,512,SSD,M2 GPU,13.0,2018,6,Good,145206,15065
HP,Ryzen 5,8,512,SSD,Integrated,14.0,2019,5,Good,57562,8000
Acer,M1,32,2048,SSD,RTX 3050,14.0,2020,4,Fair,140200,15903
MSI,Ryzen 5,64,512,SSD,M1 GPU,16.0,2023,1,Excellent,116562,51866
Apple,M2,64,512,HDD,Integrated,14.0,2018,6,Good,144256,16999
HP,i9,32,512,SSD,M2 GPU,13.0,2020,4,Fair,141532,19304
Apple,M1,64,2048,HDD,RTX 3060,17.0,2022,2,Good,169394,53199
Acer,M1,16,512,SSD,M1 GPU,16.0,2019,5,Fair,105005,10536
HP,M1,16,256,SSD,M2 GPU,17.0,2021,3,Good,122368,27387
Acer,Ryzen 7,32,2048,SSD,RTX 3050,13.0,2022,2,Good,152458,37957
Apple,Ryzen 7,16,1024,SSD,RTX 3050,17.0,2018,6,Excellent,98290,16407
HP,Ryzen 5,32,256,SSD,Integrated,16.0,2023,1,Fair,78636,15991
Lenovo,i5,32,2048,SSD,RTX 4070,14.0,2023,1,Good,169438,49827
Asus,M1,16,512,HDD,RTX 3050,16.0,2019,5,Good,105685,15376
Dell,Ryzen 9,64,2048,SSD,RTX 4070,16.0,2020,4,Good,236193,39790
Asus,i5,16,1024,SSD,RTX 3060,13.0,2021,3,Fair,101161,15595
MSI,i7,64,512,SSD,M1 GPU,17.0,2020,4,Good,154736,32584
Apple,i3,32,256,HDD,RTX 4070,14.0,2020,4,Good,128150,29675
Lenovo,i5,64,512,SSD,RTX 3060,17.0,2023,1,Poor,143483,18920
Apple,i3,8,2048,HDD,GTX 1650,13.0,2020,4,Fair,71146,12310
Apple,i9,8,1024,SSD,Integrated,15.6,2021,3,Good,110851,33542
Acer,M1,16,256,SSD,Integrated,13.0,2018,6,Good,89437,8145
Lenovo,M2,32,512,HDD,RTX 3060,15.6,2021,3,Fair,166694,26797
Acer,M2,64,1024,SSD,RTX 4070,13.0,2023,1,Good,216884,64404
Asus,Ryzen 5,8,2048,HDD,RTX 3050,16.0,2018,6,Good,85896,8000
Lenovo,i3,16,2048,HDD,RTX 4070,16.0,2023,1,Fair,111521,26036
HP,i9,8,512,SSD,RTX 3050,16.0,2018,6,Good,120701,11180
Apple,i9,16,2048,SSD,M1 GPU,16.0,2019,5,Good,136466,26342
MSI,Ryzen 7,16,512,SSD,Integrated,17.0,2021,3,Poor,80644,8560
HP,i3,8,256,SSD,RTX 3050,15.6,2022,2,Good,66655,16840
Dell,i3,16,2048,SSD,RTX 3060,13.0,2019,5,Good,112160,15135
HP,Ryzen 7,16,256,SSD,RTX 4070,13.0,2018,6,Good,132955,13218
MSI,M2,32,256,SSD,M1 GPU,15.6,2020,4,Good,130607,25596
Apple,i7,64,2048,HDD,RTX 4070,17.0,2021,3,Good,192495,56574
Apple,Ryzen 5,64,256,SSD,M2 GPU,17.0,2018,6,Good,137802,15668
Acer,i3,32,2048,SSD,RTX 3050,16.0,2021,3,Good,128527,25301
Dell,Ryzen 9,16,1024,SSD,GTX 1650,14.0,2020,4,Excellent,119191,28968
Acer,M2,8,1024,HDD,RTX 3060,15.6,2022,2,Excellent,144785,44978
HP,i3,8,512,SSD,RTX 3050,13.0,2022,2,Poor,69571,8419
MSI,M2,32,2048,SSD,RTX 3060,17.0,2023,1,Good,196947,61089
Dell,Ryzen 5,16,512,SSD,RTX 3060,14.0,2020,4,Good,95042,18584
MSI,M1,32,2048,SSD,RTX 3050,13.0,2023,1,Good,160332,52957
Apple,Ryzen 5,32,2048,SSD,Integrated,13.0,2021,3,Good,102603,28193
Lenovo,i3,8,512,HDD,GTX 1650,16.0,2021,3,Excellent,56668,15404
HP,Ryzen 5,16,2048,HDD,RTX 3050,15.6,2022,2,Excellent,87915,25430
Lenovo,i7,16,512,HDD,M2 GPU,17.0,2023,1,Fair,96304,21463
Apple,Ryzen 5,32,1024,SSD,GTX 1650,16.0,2018,6,Good,109680,14758
Apple,i3,8,2048,SSD,RTX 3060,17.0,2022,2,Good,104535,32637
Asus,Ryzen 9,32,1024,SSD,RTX 4070,15.6,2019,5,Good,157694,20852
Apple,Ryzen 9,64,1024,SSD,M2 GPU,17.0,2020,4,Fair,167418,26227
Asus,i3,32,2048,SSD,M1 GPU,13.0,2019,5,Fair,113120,10599
Asus,i3,8,2048,HDD,M2 GPU,15.6,2022,2,Good,81585,21306
Acer,Ryzen 5,16,1024,SSD,RTX 4070,13.0,2021,3,Excellent,123176,35012
Lenovo,i7,16,2048,SSD,RTX 3060,14.0,2021,3,Good,132087,31804
MSI,M2,32,512,HDD,RTX 4070,15.6,2019,5,Good,173020,27132
MSI,i7,64,1024,SSD,RTX 3060,17.0,2018,6,Good,174766,17861
MSI,Ryzen 7,32,1024,SSD,M2 GPU,17.0,2019,5,Good,127407,20494
Acer,Ryzen 5,64,2048,HDD,RTX 3050,13.0,2023,1,Poor,124444,16440
Dell,M1,32,512,SSD,Integrated,16.0,2018,6,Excellent,112923,12964
Asus,M2,32,256,HDD,GTX 1650,13.0,2019,5,Good,122223,16625
Acer,i7,64,1024,SSD,RTX 4070,17.0,2019,5,Excellent,171231,29859
HP,M1,8,1024,HDD,RTX 3060,16.0,2019,5,Good,104262,13199
Apple,i5,32,1024,HDD,M1 GPU,15.6,2023,1,Good,94501,34585
Dell,Ryzen 5,8,256,SSD,RTX 3050,13.0,2018,6,Fair,68419,8000
Acer,i9,64,512,SSD,GTX 1650,14.0,2021,3,Good,153402,30003
Acer,i9,8,1024,HDD,GTX 1650,16.0,2023,1,Fair,111945,23868
Dell,i3,32,256,SSD,GTX 1650,17.0,2019,5,Good,84483,13037
HP,M1,8,512,SSD,Integrated,17.0,2021,3,Good,79152,15949
Lenovo,i5,64,2048,HDD,M2 GPU,15.6,2022,2,Good,143733,42460
Lenovo,Ryzen 5,8,512,SSD,RTX 4070,13.0,2021,3,Fair,110866,16619
MSI,Ryzen 5,8,1024,SSD,Integrated,16.0,2020,4,Fair,71950,10052
Asus,i9,32,1024,SSD,GTX 1650,13.0,2022,2,Good,137960,38988
Lenovo,i5,64,512,HDD,Integrated,16.0,2018,6,Good,104966,10330
HP,M2,8,512,SSD,M1 GPU,13.0,2021,3,Good,125303,25380
MSI,i9,16,1024,SSD,RTX 3060,16.0,2022,2,Good,147174,43745
Asus,i7,8,256,HDD,M1 GPU,14.0,2022,2,Fair,80572,13933
Asus,Ryzen 7,64,512,SSD,RTX 3060,14.0,2020,4,Good,156775,28422
Acer,i9,64,256,SSD,RTX 3060,14.0,2021,3,Fair,174356,25655
MSI,i3,64,2048,HDD,RTX 3050,17.0,2019,5,Fair,138078,14290
Acer,Ryzen 9,64,2048,SSD,Integrated,14.0,2021,3,Good,175851,36390
Asus,i9,8,1024,HDD,RTX 3050,13.0,2020,4,Good,121518,20980
Asus,Ryzen 7,32,2048,HDD,RTX 4070,13.0,2022,2,Good,141448,39092
MSI,i9,16,2048,HDD,RTX 4070,16.0,2019,5,Good,162569,26422
